,location,dt,tweets,sentiment,distance
29118,sorsogon,2013-11-01,-0.3848645908737685,-1.219684453732515,0.0
29119,sorsogon,2013-11-02,-0.40610930200598283,0.1687396652624029,0.0
29120,sorsogon,2013-11-03,-0.39093450834011545,-1.036662481802489,0.0
29121,sorsogon,2013-11-04,-0.40307434327280933,1.469239005873039,0.0
29122,sorsogon,2013-11-05,-0.3970044258064624,0.007462465897151665,0.0
29123,sorsogon,2013-11-06,-0.3696897972079012,-1.8129239422962764,0.0
29124,sorsogon,2013-11-07,-0.20883698434970732,-1.486066409736596,0.10318859692789795
29125,sorsogon,2013-11-08,-0.24222153041461547,-2.4954791719204676,0.0698040508629898
29126,sorsogon,2013-11-09,-0.37879467340742157,-2.1365816826088246,0.0030349587331734984
29127,sorsogon,2013-11-10,-0.41824913693867666,-4.302748537774038,0.0
29128,sorsogon,2013-11-11,-0.387899549606942,-2.3788160543505685,0.0
29129,sorsogon,2013-11-12,-0.33327029240981954,-3.1434408786164854,0.021244711132214267
29130,sorsogon,2013-11-13,-0.3272003749434726,-2.751595605552991,0.015174793665867325
29131,sorsogon,2013-11-14,-0.3848645908737685,-0.7962708529752717,0.0
29132,sorsogon,2013-11-15,-0.33327029240981954,-0.7890318487846252,0.021244711132214267
29133,sorsogon,2013-11-16,-0.36058492100838074,-1.0145376630240897,0.006069917466346941
29134,sorsogon,2013-11-17,-0.37879467340742157,-0.9576163115844301,0.0030349587331734984
29135,sorsogon,2013-11-18,-0.3848645908737685,-0.5852018184785314,0.0
29136,sorsogon,2013-11-19,-0.37879467340742157,-3.0792039895393986,0.0030349587331734984
29137,sorsogon,2013-11-20,-0.40610930200598283,-0.8097395503834314,0.0
29138,sorsogon,2013-11-21,-0.4000393845396359,-1.030149812131642,0.0
29139,sorsogon,2013-11-22,-0.3970044258064624,-0.7419144708644511,0.0
29140,sorsogon,2013-11-23,-0.4000393845396359,-0.6506232109945636,0.0
29141,sorsogon,2013-11-24,-0.4091442607391563,0.8568936738390828,0.0
29142,sorsogon,2013-11-25,-0.4152141782055032,-1.8142982975717317,0.0
29143,sorsogon,2013-11-26,-0.39093450834011545,-0.6919588070292753,0.0
29144,sorsogon,2013-11-27,-0.3666548384747277,-1.0291618565678053,0.0
29145,sorsogon,2013-11-28,-0.34237516860934,-2.13597470784018,0.02427966986538771
29146,sorsogon,2013-11-29,-0.3575499622752073,-1.818514860585125,0.009104876199520384
29147,sorsogon,2013-11-30,-0.3970044258064624,-1.0274412606866141,0.0
