,location,dt,tweets,sentiment
21772,leyte,2011-11-19,-0.40307434327280933,-1.8571901724018924
21773,leyte,2011-11-20,-0.40610930200598283,-2.8614331280865137
21774,leyte,2011-11-21,-0.4152141782055032,-2.2215472664083937
21775,leyte,2011-11-22,-0.387899549606942,-1.0742419151774922
21776,leyte,2011-11-23,-0.39396946707328895,-0.7570162800820271
21777,leyte,2011-11-24,-0.40307434327280933,0.7433609122396103
21778,leyte,2011-11-25,-0.40610930200598283,-0.3573511452431824
21779,leyte,2011-11-26,-0.4152141782055032,-1.6470447743071779
21780,leyte,2011-11-27,-0.4091442607391563,-0.14881585594182234
21781,leyte,2011-11-28,-0.4091442607391563,-1.5339974976552937
21782,leyte,2011-11-29,-0.40610930200598283,0.5783127852714175
21783,leyte,2011-11-30,-0.4121792194723297,-0.3931133466531075
22120,leyte,2012-11-01,-0.2998857463449114,-0.8507133382441667
22121,leyte,2012-11-02,-0.3696897972079012,-0.8006751361766596
22122,leyte,2012-11-03,-0.3454101273425134,-1.311238405168901
22123,leyte,2012-11-04,-0.35148004480886036,-0.21844498012221314
22124,leyte,2012-11-05,-0.3484450860756869,-2.452579740032556
22125,leyte,2012-11-06,-0.35148004480886036,-1.6899460417319865
22126,leyte,2012-11-07,-0.37879467340742157,-2.41499197141466
22127,leyte,2012-11-08,-0.36361987974155424,-2.0760223885411775
22128,leyte,2012-11-09,-0.3757597146742481,-1.680292723266971
22129,leyte,2012-11-10,-0.2786410352126971,-1.54680614846708
22130,leyte,2012-11-11,-0.2756060764795236,-2.377337400275577
22131,leyte,2012-11-12,-0.3575499622752073,-0.26680485227096207
22132,leyte,2012-11-13,-0.3696897972079012,-0.7775614392668401
22133,leyte,2012-11-14,-0.4000393845396359,0.3397882538137059
22134,leyte,2012-11-15,-0.36361987974155424,-2.184523295899728
22135,leyte,2012-11-16,-0.3727247559410746,0.1741392041432326
22136,leyte,2012-11-17,-0.3484450860756869,0.3489120981649438
22137,leyte,2012-11-18,-0.3666548384747277,-1.8694688542704305
22138,leyte,2012-11-19,-0.2998857463449114,-3.2197985316000968
22139,leyte,2012-11-20,-0.3757597146742481,-0.6472841709469968
22140,leyte,2012-11-21,-0.30292070507808483,-3.7478894762253145
22141,leyte,2012-11-22,-0.3575499622752073,-3.310255666388906
22142,leyte,2012-11-23,-0.3666548384747277,-1.2292862187688463
22143,leyte,2012-11-24,-0.3180954987439522,-1.3921022441290585
22144,leyte,2012-11-25,-0.3727247559410746,-1.698262073883644
22145,leyte,2012-11-26,-0.3970044258064624,-0.7297951850413661
22146,leyte,2012-11-27,-0.34237516860934,-3.1739856753976268
22147,leyte,2012-11-28,-0.3575499622752073,-0.42656826923818697
22148,leyte,2012-11-29,-0.37879467340742157,0.40709590456818384
22149,leyte,2012-11-30,-0.36361987974155424,-0.041292752329505474
22828,leyte,2014-11-01,-0.23615161294826853,-0.8046470545428371
22829,leyte,2014-11-02,-0.2877459114122175,-0.8740331290629675
22830,leyte,2014-11-03,-0.2695361590131767,-1.8318733196306933
22831,leyte,2014-11-04,-0.2998857463449114,-0.8317723287704812
22832,leyte,2014-11-05,-0.3150605400107787,-0.4283825091695149
22833,leyte,2014-11-06,-0.239186571681442,-0.5936526931149431
22834,leyte,2014-11-07,0.009680044438782471,-1.4283372183094099
22835,leyte,2014-11-08,-0.10564838742180936,-0.4993207732406441
22836,leyte,2014-11-09,-0.26346624154682974,-0.3905680960902609
22837,leyte,2014-11-10,-0.1511727684194114,-1.401469119575505
22838,leyte,2014-11-11,-0.26346624154682974,-1.0336331717166622
22839,leyte,2014-11-12,-0.32113045747712565,0.08578547000892897
22840,leyte,2014-11-13,-0.3302353336766461,-0.09352847136504264
22841,leyte,2014-11-14,-0.2695361590131767,-0.5683677714701232
22842,leyte,2014-11-15,-0.30899062254443177,-0.8198003533557863
22843,leyte,2014-11-16,-0.3272003749434726,-0.5889744042701206
22844,leyte,2014-11-17,-0.3180954987439522,-3.057469912069204
22845,leyte,2014-11-18,-0.2968507876117379,-1.1108478917640776
22846,leyte,2014-11-19,-0.2695361590131767,-0.7662867154421236
22847,leyte,2014-11-20,-0.28471095267904406,-1.6734210218048946
22848,leyte,2014-11-21,-0.3393402098761665,0.060873900056695525
22849,leyte,2014-11-22,-0.3302353336766461,-0.747913549537914
22850,leyte,2014-11-23,-0.34237516860934,-2.7903294499739033
22851,leyte,2014-11-24,-0.290780870145391,-1.4050132033556497
22852,leyte,2014-11-25,-0.3272003749434726,-1.0236750710137625
22853,leyte,2014-11-26,-0.2482914478809624,-2.0811047419561732
22854,leyte,2014-11-27,-0.38182963214059507,-1.223690691618311
22855,leyte,2014-11-28,-0.32416541621029915,-1.7173522764673983
22856,leyte,2014-11-29,-0.3393402098761665,-2.444289241297548
22857,leyte,2014-11-30,-0.3696897972079012,-1.1944285579243086
23193,leyte,2015-11-01,-0.2300816954819216,-1.4680412505197493
23194,leyte,2015-11-02,-0.3393402098761665,-1.0507179424725073
23195,leyte,2015-11-03,-0.28471095267904406,-0.35715800536820486
23196,leyte,2015-11-04,-0.2998857463449114,0.08119717237750716
23197,leyte,2015-11-05,-0.25436136534730935,-0.14587547519610292
23198,leyte,2015-11-06,-0.2482914478809624,-2.0213126858111834
23199,leyte,2015-11-07,-0.2573963240804828,-0.8460646607085252
23200,leyte,2015-11-08,-0.2998857463449114,-0.36473190409109385
23201,leyte,2015-11-09,-0.25132640661413586,-1.2623998672777694
23202,leyte,2015-11-10,-0.26346624154682974,-1.5552208690873686
23203,leyte,2015-11-11,-0.24222153041461547,-2.1533464685168084
23204,leyte,2015-11-12,-0.26650120028000324,-0.780487076176351
23205,leyte,2015-11-13,-0.3484450860756869,-1.0570874604080405
23206,leyte,2015-11-14,-0.34237516860934,-0.37865115607280697
23207,leyte,2015-11-15,-0.2482914478809624,-0.825883693448076
23208,leyte,2015-11-16,-0.24525648914778894,-0.31714213537155256
23209,leyte,2015-11-17,-0.3150605400107787,-0.29474833214138974
23210,leyte,2015-11-18,-0.2877459114122175,-1.0750775127473977
23211,leyte,2015-11-19,-0.33327029240981954,-0.3748244626893341
23212,leyte,2015-11-20,-0.3180954987439522,-2.374400070851128
23213,leyte,2015-11-21,-0.22097681928240118,-1.6350429930678736
23214,leyte,2015-11-22,-0.35148004480886036,0.37828131413159594
23215,leyte,2015-11-23,-0.30292070507808483,-1.6961784553058203
