,location,dt,tweets,sentiment,distance
22463,leyte,2013-11-01,-0.2968507876117379,-1.3730290518914747,0.0023463381191670685
22464,leyte,2013-11-02,-0.34237516860934,-0.013149013436433711,0.003343854432840245
22465,leyte,2013-11-03,-0.2877459114122175,-1.7866406785242037,0.014092562512145745
22466,leyte,2013-11-04,-0.2786410352126971,-1.2827135843887159,0.01003503900584568
22467,leyte,2013-11-05,-0.26650120028000324,-1.845476585341307,0.01171358706058534
22468,leyte,2013-11-06,0.06430930163590491,-1.6405275996784348,0.0029265744703188545
22469,leyte,2013-11-07,1.5301943697586906,-1.8169490358573066,0.014924283773386726
22470,leyte,2013-11-08,2.379982815047262,-2.4438879923991177,0.00040124889843040634
22471,leyte,2013-11-09,3.7487492037084964,-2.9151070984916454,0.053673970405131666
22472,leyte,2013-11-10,6.723008762218496,-3.1282226676208977,0.04576300777672904
22473,leyte,2013-11-11,4.295041775679721,-1.778436388783316,0.005888272771257919
22474,leyte,2013-11-12,4.501418969535517,-1.7663268024507843,0.003740776567946913
22475,leyte,2013-11-13,4.358775909076363,-1.8308825586292632,0.0009907610014301405
22476,leyte,2013-11-14,3.606106143249343,-1.9607290430890303,0.007371654606896261
22477,leyte,2013-11-15,2.152360910059252,-1.634951385123461,9.160794441265274e-05
22478,leyte,2013-11-16,1.2782927949052927,-1.193062736530705,0.001365821393603639
22479,leyte,2013-11-17,1.041566013717762,-1.014757175795011,0.002691746962955932
22480,leyte,2013-11-18,1.138684693179313,-1.0948736442867146,0.004292676806068929
22481,leyte,2013-11-19,0.6804059244701192,-1.4868297927971508,0.007918783618238612
22482,leyte,2013-11-20,0.8351888198619661,-1.266568605536882,0.002519846434725359
22483,leyte,2013-11-21,0.6561262546047314,-1.4743044171939883,0.0033470970983879855
22484,leyte,2013-11-22,0.22212715576092532,-1.2853340726780995,0.01265552729522934
22485,leyte,2013-11-23,-0.0024597904939114056,-0.8411308623957156,0.002086129726505126
22486,leyte,2013-11-24,0.06734426036907838,-0.9644617295756803,0.010069210282549035
22487,leyte,2013-11-25,0.15232310489793552,-1.3085607706315885,0.002677634537312512
22488,leyte,2013-11-26,0.17963773349649675,-1.87984480943197,0.002204929344632456
22489,leyte,2013-11-27,-0.038879295291993035,-0.6707893650094539,0.001608973690726767
22490,leyte,2013-11-28,0.05823938416955798,-0.704722346978973,0.0031056949893631947
22491,leyte,2013-11-29,-0.02673946035929916,-0.17598930484064473,0.0026629336722331365
22492,leyte,2013-11-30,-0.18759227321749303,-0.5152877760158489,0.0010807272473487561
