,location,dt,tweets,sentiment,distance
28362,samar,2013-11-01,-0.36361987974155424,-2.4269215011371115,0.11143886234240918
28363,samar,2013-11-02,-0.3970044258064624,-1.3795340417953843,0.018043142621916308
28364,samar,2013-11-03,-0.387899549606942,0.040538967893694405,0.026078824241313206
28365,samar,2013-11-04,-0.38182963214059507,-0.8598722149612545,0.03266537045055218
28366,samar,2013-11-05,-0.3059556638112583,-1.7082930085301178,0.09888526845911105
28367,samar,2013-11-06,0.11893855883302736,-1.6171604805802906,0.007752740509283873
28368,samar,2013-11-07,1.991508097201058,-1.9387614732404426,0.053534156001894484
28369,samar,2013-11-08,0.6045319561407825,-2.0337817468278727,0.015392717509425058
28370,samar,2013-11-09,1.1933139503764356,-2.544704635498406,0.006344272018885544
28371,samar,2013-11-10,1.9611585098693232,-2.496590454055595,0.041769909423925444
28372,samar,2013-11-11,1.247943207573558,-1.7668369393312793,0.15742919926027255
28373,samar,2013-11-12,1.6606975952851497,-1.794284200532059,0.18487646046105222
28374,samar,2013-11-13,1.7972707382779558,-1.4646301813393874,0.011685705519548284
28375,samar,2013-11-14,1.4664602363620478,-1.639151436476394,0.02974369640538721
28376,samar,2013-11-15,0.7957343563307111,-1.4570155177736595,0.019300369085276214
28377,samar,2013-11-16,0.5104482354124049,-1.249888583865383,0.01177387050368428
28378,samar,2013-11-17,0.5711474100758742,-1.1953969456680575,0.00642036405303581
28379,samar,2013-11-18,0.22212715576092532,-1.096334438700663,0.033438815318253656
28380,samar,2013-11-19,0.10679872390033349,-0.69254566678343,0.013441848978106297
28381,samar,2013-11-20,0.1917775684291906,-0.9002172505921024,0.0005654201225513411
28382,samar,2013-11-21,0.0460995492368641,-1.170895420142615,0.018081161472406793
28383,samar,2013-11-22,-0.0024597904939114056,-1.586185870828658,0.0021408523991739425
28384,samar,2013-11-23,-0.15420772715258485,-0.3120409292865305,0.006867341048708786
28385,samar,2013-11-24,-0.30292070507808483,-1.1490345658147139,0.019261311795797154
28386,samar,2013-11-25,-0.13296301602037058,-1.2458396885069392,0.007724975145240398
28387,samar,2013-11-26,-0.0024597904939114056,-0.4281172750706382,0.01835376442806469
28388,samar,2013-11-27,-0.2179418605492277,-1.1979864618705478,0.00900988025552607
28389,samar,2013-11-28,-0.0722638413569012,-1.767772678054256,0.15836493798324924
28390,samar,2013-11-29,-0.24222153041461547,-0.5601696645709169,0.000539920322799925
28391,samar,2013-11-30,-0.25436136534730935,-1.760479926341837,0.1510721862708302
