,location,dt,tweets,sentiment
28757,sorsogon,2012-11-01,-0.3970044258064624,0.1389952543898165
28758,sorsogon,2012-11-02,-0.4000393845396359,-0.08980186747756469
28759,sorsogon,2012-11-03,-0.4091442607391563,0.7685207917080213
28760,sorsogon,2012-11-04,-0.3970044258064624,-1.6251660684644262
28761,sorsogon,2012-11-05,-0.3970044258064624,-1.1907300741668643
28762,sorsogon,2012-11-06,-0.4000393845396359,-0.19231853483648706
28763,sorsogon,2012-11-07,-0.387899549606942,-0.6226946304414609
28764,sorsogon,2012-11-08,-0.3666548384747277,-2.100697954601259
28765,sorsogon,2012-11-09,-0.39093450834011545,-2.192975141785248
28766,sorsogon,2012-11-10,-0.40610930200598283,-0.59922841605501
28767,sorsogon,2012-11-11,-0.3848645908737685,-1.6582682254069516
28768,sorsogon,2012-11-12,-0.4091442607391563,-1.7904448403774056
28769,sorsogon,2012-11-13,-0.39093450834011545,-1.0422292890023996
28770,sorsogon,2012-11-14,-0.40610930200598283,-0.5881981768853948
28771,sorsogon,2012-11-15,-0.40307434327280933,-0.4024714341220384
28772,sorsogon,2012-11-16,-0.4000393845396359,1.2273290220409998
28773,sorsogon,2012-11-17,-0.4152141782055032,1.6284282445353977
28774,sorsogon,2012-11-19,-0.3848645908737685,-0.723194094219956
28775,sorsogon,2012-11-20,-0.4091442607391563,-2.740104404501228
28776,sorsogon,2012-11-21,-0.40307434327280933,-0.9757894406623188
28777,sorsogon,2012-11-22,-0.4091442607391563,2.200282458169578
28778,sorsogon,2012-11-23,-0.4000393845396359,-0.5541737963276112
28779,sorsogon,2012-11-24,-0.4121792194723297,-2.5261253953797174
28780,sorsogon,2012-11-25,-0.41824913693867666,-4.16462082936594
28781,sorsogon,2012-11-26,-0.39093450834011545,0.5287349159770425
28782,sorsogon,2012-11-27,-0.38182963214059507,1.3368161846576374
28783,sorsogon,2012-11-28,-0.4091442607391563,-2.6835704942480416
28784,sorsogon,2012-11-29,-0.4121792194723297,-0.11373918484928484
28785,sorsogon,2012-11-30,-0.4152141782055032,1.0054008005474002
29477,sorsogon,2014-11-01,-0.3970044258064624,0.5987715735901917
29478,sorsogon,2014-11-02,-0.40610930200598283,-0.25512674961133036
29479,sorsogon,2014-11-03,-0.4121792194723297,-0.7206064333189829
29480,sorsogon,2014-11-04,-0.40307434327280933,1.6055857558078128
29481,sorsogon,2014-11-05,-0.40610930200598283,-0.8129410017435039
29482,sorsogon,2014-11-06,-0.39396946707328895,-0.5010046263614278
29483,sorsogon,2014-11-07,-0.40307434327280933,0.9064023326941331
29484,sorsogon,2014-11-08,-0.40307434327280933,2.3509256361840287
29485,sorsogon,2014-11-09,-0.41824913693867666,2.640094770564562
29486,sorsogon,2014-11-10,-0.4152141782055032,2.5325669564329276
29487,sorsogon,2014-11-11,-0.4152141782055032,-0.33035027151878205
29488,sorsogon,2014-11-12,-0.4000393845396359,-1.2087797883760214
29489,sorsogon,2014-11-13,-0.4000393845396359,-5.839642562729742
29490,sorsogon,2014-11-14,-0.4091442607391563,1.6964589259698792
29491,sorsogon,2014-11-15,-0.41824913693867666,-0.4130669226987159
29492,sorsogon,2014-11-16,-0.31202558127760527,-1.9313321527342955
29493,sorsogon,2014-11-17,-0.40307434327280933,0.8318503709718332
29494,sorsogon,2014-11-18,-0.4121792194723297,-0.35771961404486846
29495,sorsogon,2014-11-19,-0.3848645908737685,-3.5580984774654376
29496,sorsogon,2014-11-20,-0.4121792194723297,0.5754022697433069
29497,sorsogon,2014-11-21,-0.42128409567185016,1.7730901988287706
29498,sorsogon,2014-11-22,-0.41824913693867666,3.616069174369343
29499,sorsogon,2014-11-23,-0.41824913693867666,0.20355339816165266
29500,sorsogon,2014-11-24,-0.4152141782055032,0.744988044639737
29501,sorsogon,2014-11-25,-0.3970044258064624,0.9248281390591029
29502,sorsogon,2014-11-26,-0.4152141782055032,-0.19179306857821937
29503,sorsogon,2014-11-27,-0.40307434327280933,0.12107892446547917
29504,sorsogon,2014-11-28,-0.4121792194723297,0.6387518794111111
29505,sorsogon,2014-11-29,-0.3696897972079012,-1.0757141226425673
29506,sorsogon,2014-11-30,-0.40307434327280933,0.4003650120053132
