,location,dt,tweets,sentiment,distance
17820,iloilo,2013-11-01,-0.32416541621029915,0.0035959496892923374,0.0
17821,iloilo,2013-11-02,-0.290780870145391,0.21151600290156108,0.0
17822,iloilo,2013-11-03,-0.34237516860934,0.09703385299188395,0.0
17823,iloilo,2013-11-04,-0.2877459114122175,-0.5580364153625174,0.0
17824,iloilo,2013-11-05,-0.28471095267904406,-0.6236436731169691,0.0
17825,iloilo,2013-11-06,-0.3393402098761665,-0.6218398180240247,0.0
17826,iloilo,2013-11-07,-0.19669714941701344,-1.8814921007922258,0.009104876199520412
17827,iloilo,2013-11-08,0.4800986480806702,-2.1645711426997676,0.43096414011063267
17828,iloilo,2013-11-09,0.13714831123206817,-2.3911962561650117,0.0880138032620306
17829,iloilo,2013-11-10,0.030924755570996755,-1.206155255997658,0.015174793665867346
17830,iloilo,2013-11-11,0.01878492063830288,-2.222641324523774,0.024279669865387755
17831,iloilo,2013-11-12,-0.032809377825646094,-2.2119577589491737,0.009104876199520405
17832,iloilo,2013-11-13,0.0460995492368641,-1.4203335529361738,0.0
17833,iloilo,2013-11-14,0.1857076509628437,-1.2927058836663032,0.13657314299280612
17834,iloilo,2013-11-15,-0.09654351122228895,-1.382463874385702,0.006069917466346941
17835,iloilo,2013-11-16,-0.2573963240804828,-0.7240786018506855,0.0
17836,iloilo,2013-11-17,-0.1997321081501869,-0.29206170180987556,0.006069917466346941
17837,iloilo,2013-11-18,-0.18455731448431956,-0.3500317019378132,0.0
17838,iloilo,2013-11-19,-0.24525648914778894,0.3667560536422312,0.0
17839,iloilo,2013-11-20,-0.16331260335210526,-1.0677327067883728,0.0
17840,iloilo,2013-11-21,-0.22704673674874812,-0.4689697825447091,0.0030349587331734706
17841,iloilo,2013-11-22,-0.2756060764795236,-1.5095210891454636,0.0
17842,iloilo,2013-11-23,-0.18759227321749303,-0.7740021085228659,0.0030349587331734706
17843,iloilo,2013-11-24,-0.3180954987439522,-0.9840030440592119,0.0
17844,iloilo,2013-11-25,-0.2604312828136563,-0.8368330196967356,0.0
17845,iloilo,2013-11-26,-0.31202558127760527,-0.13621551222739037,0.0
17846,iloilo,2013-11-27,-0.25436136534730935,-0.1707557910803227,0.0
17847,iloilo,2013-11-28,-0.3272003749434726,0.4635265786340996,0.0
17848,iloilo,2013-11-29,-0.30292070507808483,-0.48817144102759247,0.0
17849,iloilo,2013-11-30,-0.3575499622752073,-0.4024280010104481,0.0
