,location,dt,tweets,sentiment
262,biliran,2012-11-01,-0.25454240868796807,0.3028740026729806
263,biliran,2012-11-02,-0.366350469122526,-0.4034440079541827
264,biliran,2012-11-03,-0.589966589991642,1.4882703868018505
265,biliran,2012-11-04,-0.030926287818852122,-0.23920002917978672
266,biliran,2012-11-05,0.1926898330502638,0.5495048814137397
267,biliran,2012-11-06,-0.478158529557084,-0.18355503491310862
268,biliran,2012-11-07,-0.366350469122526,0.8874718404842546
269,biliran,2012-11-10,-0.366350469122526,-1.13755824710815
270,biliran,2012-11-11,-0.478158529557084,0.20646413518777793
271,biliran,2012-11-12,-0.25454240868796807,0.1794664684309395
272,biliran,2012-11-13,-0.030926287818852122,-0.058195867004495645
273,biliran,2012-11-14,-0.25454240868796807,-0.4182540858327748
274,biliran,2012-11-15,-0.366350469122526,1.2590939332061444
275,biliran,2012-11-16,-0.589966589991642,-2.1266073396438854
276,biliran,2012-11-17,-0.14273434825341008,-0.3723876132331217
277,biliran,2012-11-18,-0.366350469122526,-1.1611945767827314
278,biliran,2012-11-19,-0.478158529557084,-2.524763007511417
279,biliran,2012-11-21,-0.030926287818852122,-0.890468847712515
280,biliran,2012-11-22,-0.478158529557084,0.6542527295858199
281,biliran,2012-11-23,-0.366350469122526,0.3257873653598801
282,biliran,2012-11-24,-0.14273434825341008,0.8161899378344165
283,biliran,2012-11-27,-0.478158529557084,-1.3341545875298173
284,biliran,2012-11-28,0.41630595391937975,-0.8089140667905039
911,biliran,2014-11-01,-0.589966589991642,1.9399783810940456
912,biliran,2014-11-02,-0.589966589991642,1.010227553493282
913,biliran,2014-11-03,-0.589966589991642,1.927448836084475
914,biliran,2014-11-04,-0.25454240868796807,-0.06385125813100874
915,biliran,2014-11-05,-0.478158529557084,0.7878881334154328
916,biliran,2014-11-06,-0.14273434825341008,0.7228738196982971
917,biliran,2014-11-07,-0.589966589991642,-1.4053279648555705
918,biliran,2014-11-08,-0.14273434825341008,0.2834005507647652
919,biliran,2014-11-09,-0.25454240868796807,-1.3810974385274084
920,biliran,2014-11-10,-0.589966589991642,-0.9262245607376218
921,biliran,2014-11-12,-0.589966589991642,-1.1953205529611193
922,biliran,2014-11-13,0.1926898330502638,0.8831849702525771
923,biliran,2014-11-14,0.9753462560921696,-0.02340016128975687
924,biliran,2014-11-15,-0.366350469122526,1.6382888125520696
925,biliran,2014-11-16,0.30449789348482176,-0.7005374343664734
926,biliran,2014-11-17,-0.478158529557084,-2.7187230476035293
927,biliran,2014-11-18,-0.030926287818852122,1.1729105425694335
928,biliran,2014-11-19,0.08088177261570584,-0.5916373345113783
929,biliran,2014-11-20,-0.030926287818852122,0.33435522536934215
930,biliran,2014-11-21,-0.25454240868796807,1.4941730471458494
931,biliran,2014-11-22,0.30449789348482176,-1.4173766924892537
932,biliran,2014-11-24,-0.14273434825341008,-0.126083656779062
933,biliran,2014-11-25,-0.366350469122526,1.147867623798498
934,biliran,2014-11-26,-0.366350469122526,-2.139623105341144
935,biliran,2014-11-27,-0.14273434825341008,0.2644808635208958
936,biliran,2014-11-28,0.5281140143539377,-0.7346534163523898
937,biliran,2014-11-29,0.30449789348482176,-0.7709395695309736
938,biliran,2014-11-30,-0.14273434825341008,0.2300512392733225
1249,biliran,2015-11-01,0.1926898330502638,0.14764954725731413
1250,biliran,2015-11-02,0.6399220747884957,0.008165712861627882
1251,biliran,2015-11-03,-0.25454240868796807,0.8981665484739858
1252,biliran,2015-11-04,-0.589966589991642,-1.4817313095497078
1253,biliran,2015-11-05,0.41630595391937975,-0.507287554510373
1254,biliran,2015-11-06,-0.366350469122526,-0.694264563341853
1255,biliran,2015-11-07,-0.478158529557084,-1.7475933616295665
1256,biliran,2015-11-08,0.1926898330502638,-1.1349066943513104
1257,biliran,2015-11-10,0.7517301352230537,-0.5859027849165803
1258,biliran,2015-11-11,-0.25454240868796807,-1.6806742218851036
1259,biliran,2015-11-12,-0.589966589991642,0.3794397755623168
1260,biliran,2015-11-13,-0.478158529557084,-0.3121345637593309
1261,biliran,2015-11-15,-0.589966589991642,1.908211859665876
1262,biliran,2015-11-16,3.099699404348771,2.174476508919972
1263,biliran,2015-11-17,-0.366350469122526,0.40147592540843113
1264,biliran,2015-11-19,-0.589966589991642,-2.787734661754024
1265,biliran,2015-11-20,-0.366350469122526,0.9189718845017943
1266,biliran,2015-11-21,-0.030926287818852122,-0.9631081989815029
1267,biliran,2015-11-22,-0.478158529557084,1.0010080850303875
1268,biliran,2015-11-23,-0.14273434825341008,0.8711387869468619
1269,biliran,2015-11-24,-0.030926287818852122,0.5166116921006871
1270,biliran,2015-11-25,-0.25454240868796807,-0.42348126772299893
1271,biliran,2015-11-26,0.30449789348482176,0.7388794248031152
1272,biliran,2015-11-27,0.30449789348482176,0.8472807177358744
1273,biliran,2015-11-28,-0.478158529557084,0.7437840328475454
1274,biliran,2015-11-29,-0.478158529557084,1.566965019405682
1275,biliran,2015-11-30,-0.25454240868796807,-0.6658180417263039
1597,biliran,2016-11-02,-0.25454240868796807,-0.303671178524463
1598,biliran,2016-11-03,-0.366350469122526,0.9894542311207135
1599,biliran,2016-11-04,-0.14273434825341008,0.1600062591501428
1600,biliran,2016-11-06,-0.589966589991642,-1.6343165534242707
1601,biliran,2016-11-07,0.1926898330502638,1.0532364098517781
1602,biliran,2016-11-08,-0.478158529557084,-0.38503284843559954
1603,biliran,2016-11-09,-0.25454240868796807,0.2728323305645312
1604,biliran,2016-11-10,-0.25454240868796807,0.8834849894627159
